... bright , intelligent , and humanly funny film .	8-9
Try as you might to scrutinize the ethics of Kaufman 's approach , somehow it all comes together to create a very compelling , sensitive , intelligent and almost cohesive piece of film entertainment .	8-9
Drumline is -- the mere suggestion , albeit a visually compelling one , of a fully realized story .	5-6
Woven together handsomely , recalling sixties ' rockumentary milestones from Lonely Boy to Do n't Look Back .	7-7
A passionately inquisitive film determined to uncover the truth and hopefully inspire action .	8-9
A stylish but steady , and ultimately very satisfying , piece of character-driven storytelling .	8-9
A stirring , funny and finally transporting re-imagining of Beauty and the Beast and 1930s horror films	8-9
Directed by Kevin Bray , whose crisp framing , edgy camera work , and wholesale ineptitude with acting , tone and pace very obviously mark him as a video helmer making his feature debut .	7-7
Abderrahmane Sissako 's Heremakono ( Waiting for Happiness ) is an elegiac portrait of a transit city on the West African coast struggling against foreign influences .	5-6
In its dry and forceful way , it delivers the same message as Jiri Menzel 's Closely Watched Trains and Danis Tanovic 's No Man 's Land .	5-6
There 's a lot to recommend Read My Lips .	7-7
I loved this film .	8-9
It does give a taste of the Burning Man ethos , an appealing blend of counter-cultural idealism and hedonistic creativity .	5-6
What makes Salton Sea surprisingly engrossing is that Caruso takes an atypically hypnotic approach to a world that 's often handled in fast-edit , hopped-up fashion .	8-9
Despite the film 's shortcomings , the stories are quietly moving .	7-7
Does anyone much think the central story of Brendan Behan is that he was a bisexual sweetheart before he took to drink ?	5-6
Offers laughs and insight into one of the toughest ages a kid can go through .	5-6
And yet , it still works .	7-7
It will guarantee to have you leaving the theater with a smile on your face .	8-9
Its director 's most substantial feature for some time .	7-7
Missteps take what was otherwise a fascinating , riveting story and send it down the path of the mundane .	5-6
A work of extraordinary journalism , but it is also a work of deft and subtle poetry .	8-9
Real Women Have Curves wears its empowerment on its sleeve but even its worst harangues are easy to swallow thanks to remarkable performances by Ferrera and Ontiveros .	7-7
There 's a bit of thematic meat on the bones of Queen of the Damned , as its origins in an Anne Rice novel dictate , but generally , it 's a movie that emphasizes style over character and substance .	5-6
`` Secretary '' is owned by its costars , Spader and Gyllenhaal .	5-6
It offers a glimpse of the Solomonic decision facing Jewish parents in those turbulent times : to save their children and yet to lose them .	5-6
The otherwise good-naturedness of Mr. Deeds , with its embrace of sheer goofiness and cameos of less - than-likely New York celebrities ... certainly raises the film above anything Sandler 's been attached to before .	7-7
Showtime is a fine-looking film with a bouncy score and a clutch of lively songs for deft punctuation .	8-9
A full experience , a love story and a murder mystery that expands into a meditation on the deep deceptions of innocence .	7-7
A lot more dimensional and complex than its sunny disposition would lead you to believe .	5-6
With an obvious rapport with her actors and a striking style behind the camera , Hélène Angel is definitely a director to watch .	8-9
`` Home Movie '' is a sweet treasure and something well worth your time .	8-9
The Movie is clever , offbeat and even gritty enough to overcome my resistance .	7-7
Although Barbershop boasts some of today 's hottest and hippest acts from the world of television , music and stand-up comedy , this movie strangely enough has the outdated swagger of a shameless ` 70s blaxploitation shuck-and-jive sitcom .	5-6
An unforgettable look at morality , family , and social expectation through the prism of that omnibus tradition called marriage .	7-7
Maggie Smith as the Ya-Ya member with the O2-tank will absolutely crack you up with her crass , then gasp for gas , verbal deportment .	8-9
Poignant Japanese epic about adolescent anomie and heartbreak .	7-7
It 's never dull and always looks good .	8-9
At once a testament to the divine calling of education and a demonstration of the painstaking process of imparting knowledge .	7-7
Even more baffling is that it 's funny .	5-6
Has a certain ghoulish fascination , and generates a fair amount of B-movie excitement .	5-6
The Santa Clause 2 proves itself a more streamlined and thought out encounter than the original could ever have hoped to be .	7-7
It takes you somewhere you 're not likely to have seen before , but beneath the exotic surface ( and exotic dancing ) it 's surprisingly old-fashioned .	5-6
Formula 51 has dulled your senses faster and deeper than any recreational drug on the market .	5-6
My Big Fat Greek Wedding is that rare animal known as ' a perfect family film , ' because it 's about family .	7-7
Mr. Deeds is sure to give you a lot of laughs in this simple , sweet and romantic comedy .	8-9
Who needs mind-bending drugs when they can see this , the final part of the ` qatsi ' trilogy , directed by Godfrey Reggio , with music by Philip Glass ?	7-7
That old adage about women being unknowable gets an exhilarating new interpretation in Morvern Callar .	7-7
For a debut film , Skin of Man , Heart of Beast feels unusually assured .	5-6
Charming , if overly complicated ...	5-6
With this new Rollerball , sense and sensibility have been overrun by what can only be characterized as robotic sentiment .	5-6
At 78 minutes it just zings along with vibrance and warmth .	8-9
The overall result is an intelligent , realistic portrayal of testing boundaries .	8-9
This is a movie that refreshes the mind and spirit along with the body , so original is its content , look , and style .	8-9
... a light , yet engrossing piece .	7-7
An inventive , absorbing movie that 's as hard to classify as it is hard to resist .	8-9
I loved this film .	8-9
Between them , De Niro and Murphy make Showtime the most savory and hilarious guilty pleasure of many a recent movie season .	8-9
It 's not life-affirming -- its vulgar and mean , but I liked it .	5-6
An eye-boggling blend of psychedelic devices , special effects and backgrounds , ` Spy Kids 2 ' is a visual treat for all audiences .	7-7
Nicely combines the enigmatic features of ` Memento ' with the hallucinatory drug culture of ` Requiem for a Dream . '	7-7
It 's a lovely , sad dance highlighted by Kwan 's unique directing style .	8-9
Yes , soar .	5-6
While there are times when the film 's reach exceeds its grasp , the production works more often than it does n't .	5-6
A thoroughly engaging , surprisingly touching British comedy .	8-9
Oh , and more entertaining , too .	5-6
The film is a hoot , and is just as good , if not better than much of what 's on Saturday morning TV especially the pseudo-educational stuff we all ca n't stand .	8-9
Khouri manages , with terrific flair , to keep the extremes of screwball farce and blood-curdling family intensity on one continuum .	7-7
An example of quiet , confident craftsmanship that tells a sweet , charming tale of intergalactic friendship .	8-9
Mildly amusing .	5-6
Like its parade of predecessors , this Halloween is a gory slash-fest .	5-6
None of this is meaningful or memorable , but frosting is n't , either , and you would n't turn down a big bowl of that , would you ?	5-6
Yet in its own aloof , unreachable way it 's so fascinating you wo n't be able to look away for a second .	7-7
