A coming-of-age tale from New Zealand whose boozy , languid air is balanced by a rich visual clarity and deeply felt performances across the board .	7-7
Even when he 's not at his most critically insightful , Godard can still be smarter than any 50 other filmmakers still at work .	7-7
The auteur 's ear for the way fears and slights are telegraphed in the most blithe exchanges gives the film its lingering tug .	7-7
Together writer-director Danny Verete 's three tales comprise a powerful and reasonably fulfilling gestalt .	7-7
A gift to anyone who loves both dance and cinema	7-7
For the most part , it works beautifully as a movie without sacrificing the integrity of the opera .	7-7
It 's touching and tender and proves that even in sorrow you can find humor .	7-7
It made me want to get made-up and go see this movie with my sisters .	7-7
Like The English Patient and The Unbearable Lightness of Being , The Hours is one of those reputedly `` unfilmable '' novels that has bucked the odds to emerge as an exquisite motion picture in its own right .	7-7
Jacquot 's strategy allows his cast the benefit of being able to give full performances ... while demonstrating vividly that the beauty and power of the opera reside primarily in the music itself .	7-7
They are what makes it worth the trip to the theatre .	7-7
A quasi-documentary by French filmmaker Karim Dridi that celebrates the hardy spirit of Cuban music .	7-7
A fast paced and suspenseful Argentinian thriller about the shadow side of play .	7-7
Fear permeates the whole of Stortelling , Todd Solondz ' oftentimes funny , yet ultimately cowardly autocritique .	7-7
Like its title character , this Nicholas Nickleby finds itself in reduced circumstances -- and , also like its hero , it remains brightly optimistic , coming through in the end .	7-7
Reggio and Glass put on an intoxicating show .	7-7
What could have been a daytime soap opera is actually a compelling look at a young woman 's tragic odyssey .	7-7
Great fun both for sports aficionados and for ordinary louts whose idea of exercise is climbing the steps of a stadium-seat megaplex .	7-7
The amazing film work is so convincing that by movies ' end you 'll swear you are wet in some places and feel sand creeping in others .	7-7
This movie has the usual impossible stunts ... But it has just as many scenes that are lean and tough enough to fit in any modern action movie .	7-7
would make an excellent companion piece to the similarly themed ` The French Lieutenant 's Woman . '	7-7
The film is old-fashioned , occasionally charming and as subtle as boldface .	7-7
Even through its flaws , Revolution # 9 proves to be a compelling , interestingly told film .	7-7
A quiet , disquieting triumph .	7-7
... quite good at providing some good old fashioned spooks .	7-7
A film with a great premise but only a great premise .	7-7
Constantly touching , surprisingly funny , semi-surrealist exploration of the creative act .	7-7
Many insightful moments .	7-7
The film is hard to dismiss -- moody , thoughtful , and lit by flashes of mordant humor .	7-7
Compulsively watchable , no matter how degraded things get .	7-7
What 's surprising is how well it holds up in an era in which computer-generated images are the norm .	7-7
It 's a clear-eyed portrait of an intensely lived time , filled with nervous energy , moral ambiguity and great uncertainties .	7-7
An energetic and engaging film that never pretends to be something it is n't .	7-7
It 's funny .	7-7
It 's better than The Phantom Menace .	7-7
Inherently caustic and oddly whimsical , the film chimes in on the grieving process and strangely draws the audience into the unexplainable pain and eccentricities that are attached to the concept of loss .	7-7
The lightest , most breezy movie Steven Spielberg has made in more than a decade .	7-7
Handsome and sophisticated approach to the workplace romantic comedy .	7-7
If you 're looking for an intelligent movie in which you can release your pent up anger , ENOUGH is just the ticket you need .	7-7
Simultaneously heart-breaking and very funny , The Last Kiss is really all about performances .	7-7
The word that comes to mind , while watching Eric Rohmer 's tribute to a courageous Scottish lady , is painterly .	7-7
Twohy knows how to inflate the mundane into the scarifying , and gets full mileage out of the rolling of a stray barrel or the unexpected blast of a phonograph record .	7-7
There 's something poignant about an artist of 90-plus years taking the effort to share his impressions of life and loss and time and art with us .	7-7
A witty , whimsical feature debut .	7-7
Nicely combines the enigmatic features of ` Memento ' with the hallucinatory drug culture of ` Requiem for a Dream . '	7-7
It 's excessively quirky and a little underconfident in its delivery , but otherwise this is the best ` old neighborhood ' project since Christopher Walken kinda romanced Cyndi Lauper in The Opportunists .	7-7
There 's nothing more satisfying during a summer of event movies than a spy thriller like The Bourne Identity that 's packed with just as much intelligence as action .	7-7
And , there 's no way you wo n't be talking about the film once you exit the theater .	7-7
Judging by those standards , ` Scratch ' is a pretty decent little documentary .	7-7
Toes the fine line between cheese and earnestness remarkably well ; everything is delivered with such conviction that it 's hard not to be carried away .	7-7
A smart and funny , albeit sometimes superficial , cautionary tale of a technology in search of an artist .	7-7
She boxes these women 's souls right open for us .	7-7
One of the most gloriously unsubtle and adrenalized extreme shockers since The Evil Dead .	7-7
A sentimental hybrid that could benefit from the spice of specificity .	7-7
Wonder of wonders -- a teen movie with a humanistic message .	7-7
With exquisite craftsmanship ... Olivier Assayas has fashioned an absorbing look at provincial bourgeois French society .	7-7
Another entertaining romp from Robert Rodriguez .	7-7
It 's funny and human and really pretty damned wonderful , all at once .	7-7
It 's rare to find a film to which the adjective ` gentle ' applies , but the word perfectly describes Pauline & Paulette .	7-7
Rock solid family fun out of the gates , extremely imaginative through out , but wanes in the middle	7-7
A low-key labor of love that strikes a very resonant chord .	7-7
Nettelbeck has crafted an engaging fantasy of flavours and emotions , one part romance novel , one part recipe book .	7-7
A small movie with a big heart .	7-7
Another love story in 2002 's remarkable procession of sweeping pictures that have reinvigorated the romance genre .	7-7
The film 's sense of imagery gives it a terrible strength , but it 's propelled by the acting .	7-7
The movie itself is far from disappointing , offering an original take on courtroom movies , a few nifty twists that are so crucial to the genre and another first-rate performance by top-billed star Bruce Willis .	7-7
Hoffman 's performance is authentic to the core of his being .	7-7
Deliberately and devotedly constructed , Far from Heaven is too picture postcard perfect , too neat and new pin-like , too obviously a recreation to resonate .	7-7
The story that emerges has elements of romance , tragedy and even silent-movie comedy .	7-7
It is quite a vision .	7-7
What sets it apart is the vision that Taymor , the avant garde director of Broadway 's The Lion King and the film Titus , brings .	7-7
Nettelbeck ... has a pleasing way with a metaphor .	7-7
They 're just a couple of cops in Copmovieland , these two , but in Narc , they find new routes through a familiar neighborhood .	7-7
While I ca n't say it 's on par with the first one , Stuart Little 2 is a light , fun cheese puff of a movie .	7-7
Director Claude Chabrol has become the master of innuendo .	7-7
Offers a persuasive look at a defeated but defiant nation in flux .	7-7
Hatosy ... portrays young Brendan with his usual intelligence and subtlety , not to mention a convincing brogue .	7-7
Spirit is a visual treat , and it takes chances that are bold by studio standards , but it lacks a strong narrative .	7-7
It 's affecting , amusing , sad and reflective .	7-7
When it 's this rich and luscious , who cares ?	7-7
- style cross-country adventure ... it has sporadic bursts of liveliness , some so-so slapstick and a few ear-pleasing songs on its soundtrack .	7-7
A dreadful day in Irish history is given passionate , if somewhat flawed , treatment .	7-7
Not the Great American Comedy , but if you liked the previous movies in the series , you 'll have a good time with this one too .	7-7
Angela Gheorghiu as famous prima donna Floria Tosca , Roberto Alagna as her lover Mario Cavaradossi , and Ruggero as the villainous , lecherous police chief Scarpia , all sing beautifully and act adequately .	7-7
But Toback 's deranged immediacy makes it seem fresh again .	7-7
By the end of the movie , you 're definitely convinced that these women are spectacular .	7-7
A wonderful , ghastly film .	7-7
`` Mr. Deeds '' is suitable summer entertainment that offers escapism without requiring a great deal of thought .	7-7
It 's not going to be everyone 's bag of popcorn , but it definitely gives you something to chew on .	7-7
Old-fashioned but thoroughly satisfying entertainment .	7-7
In an era where big stars and high production values are standard procedure , Narc strikes a defiantly retro chord , and outpaces its contemporaries with daring and verve .	7-7
The bodily function jokes are about what you 'd expect , but there are rich veins of funny stuff in this movie .	7-7
In painting an unabashedly romantic picture of a nation whose songs spring directly from the lives of the people , the movie exalts the Marxian dream of honest working folk , with little to show for their labor , living harmoniously , joined in song .	7-7
An ingenious and often harrowing look at damaged people and how families can offer either despair or consolation .	7-7
A coming-of-age film that avoids the cartoonish clichés and sneering humor of the genre as it provides a fresh view of an old type -- the uncertain girl on the brink of womanhood .	7-7
A rip-roaring comedy action fest that 'll put hairs on your chest .	7-7
A wild ride of a movie that keeps throwing fastballs .	7-7
It 's secondary to American Psycho but still has claws enough to get inside you and stay there for a couple of hours .	7-7
A superlative B movie -- funny , sexy , and rousing .	7-7
Roman Polanski 's autobiographical gesture at redemption is better than ` Shindler 's List ' - it is more than merely a Holocaust movie .	7-7
A vivid , sometimes surreal , glimpse into the mysteries of human behavior .	7-7
Competently directed but terminally cute drama .	7-7
Despite a quieter middle section , involving Aragorn 's dreams of Arwen , this is even better than The Fellowship .	7-7
An energetic , violent movie with a momentum that never lets up .	7-7
The sight of the spaceship on the launching pad is duly impressive in IMAX dimensions , as are shots of the astronauts floating in their cabins .	7-7
It 's refreshing to see a romance this smart .	7-7
A reasonably entertaining sequel to 1994 's surprise family hit that may strain adult credibility .	7-7
This rich , bittersweet Israeli documentary , about the life of song-and-dance-man Pasach ` ke Burstein and his family , transcends ethnic lines .	7-7
Eyre is on his way to becoming the American Indian Spike Lee .	7-7
It 's a testament to De Niro and director Michael Caton-Jones that by movie 's end , we accept the characters and the film , flaws and all .	7-7
The new Insomnia is a surprisingly faithful remake of its chilly predecessor , and when it does elect to head off in its own direction , it employs changes that fit it well rather than ones that were imposed for the sake of commercial sensibilities .	7-7
( It 's ) a clever thriller with enough unexpected twists to keep our interest .	7-7
A lovably old-school Hollywood confection .	7-7
Has enough wit , energy and geniality to please not only the fanatical adherents on either side , but also people who know nothing about the subject and think they 're not interested .	7-7
This submarine drama earns the right to be favorably compared to Das Boot .	7-7
