The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .	3-3
The gorgeously elaborate continuation of `` The Lord of the Rings '' trilogy is so huge that a column of words can not adequately describe co-writer\/director Peter Jackson 's expanded vision of J.R.R. Tolkien 's Middle-earth .	4-4
Singer\/composer Bryan Adams contributes a slew of songs -- a few potential hits , a few more simply intrusive to the story -- but the whole package certainly captures the intended , er , spirit of the piece .	3-3
Yet the act is still charming here .	3-3
Whether or not you 're enlightened by any of Derrida 's lectures on `` the other '' and `` the self , '' Derrida is an undeniably fascinating and playful fellow .	4-4
Just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .	4-4
Part of the charm of Satin Rouge is that it avoids the obvious with humour and lightness .	3-3
a screenplay more ingeniously constructed than `` Memento ''	4-4
`` Extreme Ops '' exceeds expectations .	3-3
Good fun , good action , good acting , good dialogue , good pace , good cinematography .	4-4
Dramas like this make it human .	4-4
Still , this flick is fun , and host to some truly excellent sequences .	4-4
Australian actor\/director John Polson and award-winning English cinematographer Giles Nuttgens make a terrific effort at disguising the obvious with energy and innovation .	3-3
You walk out of The Good Girl with mixed emotions -- disapproval of Justine combined with a tinge of understanding for her actions .	3-3
Absorbing character study by André Turpin .	4-4
If you love reading and\/or poetry , then by all means check it out .	3-3
You 'll probably love it .	4-4
`` Frailty '' has been written so well , that even a simple `` Goddammit ! ''	3-3
Grenier is terrific , bringing an unforced , rapid-fire delivery to Toback 's Heidegger - and Nietzsche-referencing dialogue .	4-4
The actors are fantastic .	4-4
They are what makes it worth the trip to the theatre .	3-3
( Taymor ) utilizes the idea of making Kahlo 's art a living , breathing part of the movie , often catapulting the artist into her own work .	4-4
It 's been done before but never so vividly or with so much passion .	4-4
( `` Take Care of My Cat '' ) is an honestly nice little film that takes us on an examination of young adult life in urban South Korea through the hearts and minds of the five principals .	3-3
What `` Empire '' lacks in depth it makes up for with its heart .	3-3
Light , silly , photographed with colour and depth , and rather a good time .	4-4
But tongue-in-cheek preposterousness has always been part of For the most part Wilde 's droll whimsy helps `` Being Earnest '' overcome its weaknesses and Parker 's creative interference ...	3-3
Much of the movie 's charm lies in the utter cuteness of Stuart and Margolo .	3-3
Their computer-animated faces are very expressive .	3-3
... spiced with humor ( ' I speak fluent flatula , ' advises Denlopp after a rather , er , bubbly exchange with an alien deckhand ) and witty updatings ( Silver 's parrot has been replaced with Morph , a cute alien creature who mimics everyone and everything around )	3-3
There 's an energy to Y Tu Mamá También .	3-3
Much of it comes from the brave , uninhibited performances by its lead actors .	4-4
`` Auto Focus '' works as an unusual biopic and document of male swingers in the Playboy era	3-3
feeling to it , but like the 1920 's , the trip there is a great deal of fun .	3-3
`` Cremaster 3 '' should come with the warning `` For serious film buffs only ! ''	3-3
But believe it or not , it 's one of the most beautiful , evocative works I 've seen .	4-4
García Bernal and Talancón are an immensely appealing couple , and even though their story is predictable , you 'll want things to work out .	3-3
... a spoof comedy that carries its share of laughs -- sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh .	4-4
( City ) reminds us how realistically nuanced a Robert De Niro performance can be when he is not more lucratively engaged in the shameless self-caricature of ` Analyze This ' ( 1999 ) and ` Analyze That , ' promised ( or threatened ) for later this year .	3-3
The wanton slipperiness of \* Corpus and its amiable jerking and reshaping of physical time and space would make it a great piece to watch with kids and use to introduce video as art .	4-4
`` Frailty '' starts out like a typical Bible killer story , but it turns out to be significantly different ( and better ) than most films with this theme .	4-4
For those who pride themselves on sophisticated , discerning taste , this might not seem like the proper cup of tea , however it is almost guaranteed that even the stuffiest cinema goers will laugh their \*\*\* off for an hour-and-a-half .	4-4
It cuts to the core of what it actually means to face your fears , to be a girl in a world of boys , to be a boy truly in love with a girl , and to ride the big metaphorical wave that is life -- wherever it takes you .	4-4
A welcome relief from baseball movies that try too hard to be mythic , this one is a sweet and modest and ultimately winning story .	3-3
